PAPEL,DATA-COM,PGTO,BRUTO,TIPO,QT
"ITSA3","30/11/2012","02/01/2013","0,015","Dividendo","1"
"ITSA3","31/08/2012","01/10/2012","0,015","Dividendo","1"
"ITSA3","31/05/2012","02/07/2012","0,015","Dividendo","1"
"ITSA3","29/02/2012","13/03/2012","0,01288","JCP","1"
"ITSA3","29/02/2012","08/06/2012","0,13482","JCP","1"
"ITSA3","29/02/2012","02/04/2012","0,014","Dividendo","1"
"ITSA3","26/12/2011","13/03/2012","0,14","JCP","1"
"ITSA3","30/11/2011","02/01/2012","0,014","Dividendo","1"
"ITSA3","31/08/2011","03/10/2011","0,014","Dividendo","1"
"ITSA3","09/08/2011","22/08/2011","0,078","JCP","1"
"ITSA3","31/05/2011","01/07/2011","0,014","Dividendo","1"
"ITSA3","29/03/2011","10/06/2011","0,1117","JCP","1"
"ITSA3","08/03/2011","17/03/2011","0,0472","JCP","1"
"ITSA3","31/12/2010","17/03/2011","0,0874","JCP","1"
"ITSA3","30/11/2010","03/01/2011","0,014","Dividendo","1"
"ITSA3","10/08/2010","20/08/2010","0,0716","JCP","1"
"ITSA3","02/03/2010","10/06/2010","0,073","JCP","1"
"ITSA3","02/03/2010","10/03/2010","0,1084574","JCP","1"
"ITSA3","01/01/2010","10/03/2010","0,035","JCP","1"
"ITSA3","21/08/2009","31/08/2009","0,0512","JCP","1"
"ITSA3","09/03/2009","10/06/2009","0,138","JCP","1"
"ITSA3","09/03/2009","17/03/2009","0,1312","JCP","1"
"ITSA3","01/01/2009","17/03/2009","0,0427","JCP","1"
"ITSA3","18/09/2008","01/10/2008","0,014","Dividendo","1"
"ITSA3","15/08/2008","25/08/2008","0,0435","Dividendo","1"
"ITSA3","20/06/2008","01/07/2008","0,014","Dividendo","1"
"ITSA3","22/02/2008","03/03/2008","0,173","JCP","1"
"ITSA3","22/02/2008","01/04/2008","0,012","Dividendo","1"
"ITSA3","26/11/2007","02/01/2008","0,012","Dividendo","1"
"ITSA3","26/11/2007","03/03/2008","0,01955","JCP","1"
"ITSA3","18/09/2007","01/10/2007","0,012","Dividendo","1"
"ITSA3","17/08/2007","27/08/2007","0,04335","JCP","1"
